method,metric,time_index,improvement,nlcr_better
ols,mae,0,-0.0034159767412451636,False
ols,mae,1,-0.0014518942479191388,False
ols,mae,2,0.09514520176936125,True
ols,mae,3,0.13453644415442545,True
ols,mae,4,0.08398012113143283,True
ols,mae,5,0.01631630879977619,True
ols,mae,6,-0.012014153182779319,False
ols,mae,7,-0.01487517680146766,False
ols,mae,8,0.11134522516769352,True
ols,mae,9,-0.012288578429852093,False
ols,mae,10,0.14748669011897064,True
ols,mae,11,0.07668720578521215,True
ols,mae,12,0.22567222795043085,True
ols,mae,13,0.07881083122008381,True
ols,mae,14,-0.001457700494317482,False
ols,mae,15,-0.006878119487117029,False
ols,mae,16,-0.002176373402734688,False
ols,mae,17,-0.01528461140887627,False
ols,mae,18,0.011216513751624468,True
ols,mae,19,0.0649118376842508,True
ols,mae,20,-0.13513927671623938,False
ols,mae,21,-0.018211336795545874,False
ols,mae,22,-0.01582904081300862,False
ols,mae,23,-0.012859733843252785,False
ols,mae,24,-0.19596029477042287,False
ols,mae,25,-0.0019369481226647611,False
ols,mae,26,0.1648587415927083,True
ols,mae,27,0.09437548512089972,True
ols,mae,28,0.10406500606003455,True
ols,mae,29,-0.01485762489272724,False
ols,mae,30,-0.01802756039385689,False
ols,mae,31,-0.018052643871910412,False
ols,mae,32,-0.011853935039464192,False
ols,mae,33,-0.019744955366027828,False
ols,mae,34,-0.017268843083959817,False
ols,mae,35,-0.015808505248445126,False
ols,mae,36,-0.011221900057864165,False
ols,mae,37,-0.00550638174971918,False
ols,mae,38,0.0004567497302920831,True
ols,mae,39,0.006549449783562422,True
ols,mae,40,0.01401714469250126,True
ols,mae,41,0.004845500051548601,True
ols,mae,42,-0.01330804253594442,False
ols,mae,43,0.07192416750352315,True
ols,mae,44,0.07197302855105026,True
ols,mae,45,-0.025515758635630936,False
ols,mae,46,-0.024885642525557472,False
ols,mae,47,-0.01955878382205567,False
ols,mae,48,-0.09299096545686236,False
ols,mae,49,-0.06129868614132228,False
ols,mae,50,0.031373410095449694,True
ols,mae,51,0.0015338656402195117,True
ols,mae,52,0.0069161174283223215,True
ols,mae,53,0.015023673357443146,True
ols,mae,54,0.027927574510554276,True
ols,mae,55,0.02798487619765387,True
ols,mae,56,0.026652736208738537,True
ols,mae,57,-0.02730948042931236,False
ols,mae,58,-0.027604281411931275,False
ols,mae,59,-0.02555791502314886,False
ols,mae,60,-0.023516325115419567,False
ols,mae,61,-0.019050289239998186,False
ols,mae,62,0.00923987496433143,True
ols,mae,63,0.0028259196203770376,True
ols,mae,64,0.05731162450446914,True
ols,mae,65,0.1066736796535317,True
ols,mae,66,0.1213389769531914,True
ols,mae,67,0.08112472196479747,True
